tournament_name,held_on,grade_coeff,mc_a,mc_b,winner,round,series
SPOTLIGHT 2018,2018-11-25,2.0,K-razy,RAWAXXX,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,ミステリオ,裂固,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,JAKE,呂布カルマ,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,ふぁんく,晋平太,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,RAWAXXX,裂固,a,準決勝,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,ふぁんく,呂布カルマ,b,準決勝,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,RAWAXXX,呂布カルマ,b,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2019 (2019-12-01)
# 優勝: AUTHORITY / 準優勝: CIMA
# 信頼度: ✅高（finance-accounting-value.comで全試合照合済み）
# =====================================================
SPOTLIGHT 2019,2019-12-01,2.0,9for,じょう,b,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,HARDY,AUTHORITY,b,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,晋平太,裂固,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,バチスタ,無欲,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,キョンス,Mr.Q,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,呂布カルマ,がーどまん,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,KZ,百足,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,ACE,KOPERU,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,JAKE,ミステリオ,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,歩歩,崇勲,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,CIMA,サイプレス上野,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,ERONE,炉馬,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,ふぁんく,MC☆ニガリ a.k.a 赤い稲妻,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,RYO,韻マン,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,Scooby-J,TKda黒ぶち,b,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,J.O.E,梵頭,a,1回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,じょう,AUTHORITY,b,2回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,晋平太,バチスタ,b,2回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,キョンス,呂布カルマ,a,2回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,KZ,ACE,a,2回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,JAKE,歩歩,a,2回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,ERONE,CIMA,b,2回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,ふぁんく,RYO,b,2回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,TKda黒ぶち,J.O.E,a,2回戦,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,AUTHORITY,バチスタ,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,KZ,キョンス,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,CIMA,JAKE,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,TKda黒ぶち,RYO,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,KZ,AUTHORITY,b,準決勝,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,RYO,CIMA,b,準決勝,SPOTLIGHT
SPOTLIGHT 2019,2019-12-01,2.0,AUTHORITY,CIMA,a,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2020 (2020-12-13)
# 優勝: 輪入道 / 準優勝: 漢 a.k.a. GAMI
# 信頼度: ✅高（finance-accounting-value.comで全試合照合済み）
# =====================================================
SPOTLIGHT 2020,2020-12-13,2.0,K-razy,SILENT KILLA JOINT,b,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,Scooby J,JAKE,b,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,Authority,漢,b,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,DOPEMAN,T-TANGG,b,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,mindboi,ミメイ,b,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,ERONE,ドルバケツ,a,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,ZACK,HARDY,b,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,早雲,梵頭,b,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,ふぁんく,NERVE,a,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,RAGA,KBD,b,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,Amateras,CIMA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,HIDADDY,Fuma no KTR,b,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,輪入道,裂固,a,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,ミステリオ,Ryo,a,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,キョンス,binks,a,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,BIG MOOLA,J.O.E,a,1回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,JAKE,SILENT KILLA JOINT,a,2回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,T-TANGG,漢,b,2回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,ERONE,ミメイ,a,2回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,HARDY,梵頭,a,2回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,ふぁんく,KBD,a,2回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,Fuma no KTR,CIMA,b,2回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,ミステリオ,輪入道,b,2回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,BIG MOOLA,キョンス,a,2回戦,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,JAKE,漢,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,HARDY,ERONE,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,ふぁんく,CIMA,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,BIG MOOLA,輪入道,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,漢,HARDY,a,準決勝,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,CIMA,輪入道,b,準決勝,SPOTLIGHT
SPOTLIGHT 2020,2020-12-13,2.0,輪入道,漢,a,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2021 (2021-12-04)
# 優勝: MC☆ニガリ / 準優勝: SILENT KILLA JOINT
# 信頼度: ✅高（finance-accounting-value.comで全試合照合済み）
# =====================================================
SPOTLIGHT 2021,2021-12-04,2.0,KBD,JAKE,a,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,早雲,梵頭,a,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,サイプレス上野,BIG MOOLA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,PAW,DARTHREIDER,a,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,NERVE,鬼ピュアワンライン,b,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,SILENT KILLA JOINT,Fuma no KTR,a,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,裂固,キョンス,b,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,歩歩,BASE,b,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,FEIDA-WAN,PONEY,b,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,HIDADDY,RAGA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,MC☆ニガリ,TERU,a,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,TARO SOUL,KOPERU,b,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,ERONE,S-kainê,b,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,HUNGER,P-PONG,b,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,KATY,HARDY,b,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,ACE,CIMA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,KBD,早雲,b,2回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,PAW,BIG MOOLA,b,2回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,鬼ピュアワンライン,SILENT KILLA JOINT,b,2回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,BASE,キョンス,a,2回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,PONEY,RAGA,b,2回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,KOPERU,MC☆ニガリ,b,2回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,P-PONG,S-kainê,b,2回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,HARDY,CIMA,b,2回戦,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,早雲,BIG MOOLA,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,SILENT KILLA JOINT,BASE,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,MC☆ニガリ,RAGA,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,S-kainê,CIMA,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,早雲,SILENT KILLA JOINT,b,準決勝,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,CIMA,MC☆ニガリ,b,準決勝,SPOTLIGHT
SPOTLIGHT 2021,2021-12-04,2.0,MC☆ニガリ,SILENT KILLA JOINT,a,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2024 関東編 (2024-04-29)
# 優勝: 裂固 / 準優勝: CIMA
# 信頼度: ✅高（finance-accounting-value.comで全試合照合済み）
# =====================================================
SPOTLIGHT 2024 関東編,2024-04-29,2.0,GOTIT,DOTAMA,a,1回戦,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,MAKA,裂固,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,ふぁんく,NAIKA MC,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,GIL,MC☆ニガリ a.k.a 赤い稲妻,a,1回戦,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,ERONE,MOL53,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,L.B.R.L,ミステリオ,a,1回戦,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,POWER WAVE,TKda黒ぶち,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,Ry-lax,CIMA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,裂固,GOTIT,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,NAIKA MC,GIL,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,L.B.R.L,MOL53,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,TKda黒ぶち,CIMA,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,裂固,GIL,a,準決勝,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,MOL53,CIMA,b,準決勝,SPOTLIGHT
SPOTLIGHT 2024 関東編,2024-04-29,2.0,裂固,CIMA,a,決勝,SPOTLIGHT
# 優勝: 輪入道 / 準優勝: S-kainê
# 信頼度: ✅高（finance-accounting-value.comで全試合照合済み）
# =====================================================
SPOTLIGHT 2022 関東編,2022-07-01,2.0,ミステリオ,呂布カルマ,b,1回戦,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,MC☆ニガリ a.k.a 赤い稲妻,ERONE,a,1回戦,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,輪入道,MU-TON,a,1回戦,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,CIMA,SILENT KILLA JOINT,a,1回戦,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,FORK,句潤,a,1回戦,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,早雲,裂固,b,1回戦,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,JAKE,S-kainê,b,1回戦,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,RAWAXXX,KBD,a,1回戦,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,呂布カルマ,MC☆ニガリ a.k.a 赤い稲妻,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,CIMA,輪入道,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,裂固,FORK,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2022 関東編,2022-07-01,2.0,RAWAXXX,S-kainê,b,準々決勝,SPOTLIGHT
